"ID_SITIO";"TOTAL";"Ranking"
106;2119;1
142;1971;2
53;1805;3
51;1776;4
30;1771;5
166;1770;6
177;1694;7
75;1581;8
121;1577;9
39;1531;10
97;1520;11
152;1418;12
155;1398;13
129;1359;14
95;1308;15
40;1274;16
174;1253;17
61;1240;18
158;1234;19
5;1202;20
7;1189;21
160;1141;22
116;1072;23
150;1068;24
119;1066;25
107;1019;26
62;1012;27
165;1012;28
173;1009;29
99;971;30
96;960;31
139;944;32
156;927;33
143;912;34
141;901;35
52;888;36
163;885;37
78;884;38
108;876;39
55;849;40
92;847;41
58;839;42
151;831;43
111;827;44
154;814;45
159;813;46
176;811;47
162;774;48
93;748;49
179;695;50
145;688;51
38;674;52
90;673;53
44;668;54
113;663;55
188;655;56
91;643;57
77;641;58
153;640;59
146;639;60
31;637;61
167;607;62
80;599;63
94;591;64
148;562;65
98;549;66
164;549;67
4;541;68
161;535;69
63;534;70
186;519;71
89;516;72
171;515;73
189;514;74
128;509;75
42;507;76
82;507;77
104;504;78
46;500;79
37;497;80
124;482;81
157;471;82
79;457;83
112;441;84
149;412;85
118;409;86
172;409;87
83;403;88
54;394;89
144;392;90
168;378;91
185;361;92
64;358;93
56;351;94
47;346;95
187;340;96
178;336;97
114;320;98
147;311;99
181;308;100
65;305;101
60;297;102
170;286;103
68;262;104
182;262;105
23;252;106
180;248;107
69;236;108
175;230;109
184;229;110
86;208;111
169;191;112
70;189;113
183;184;114
122;181;115
84;175;116
100;163;117
74;121;118
